1000 5000
277 716 2429
114 882 572
901 610 293
717 495 1359
470 743 1229
412 40 1384
691 784 2361
175 413 3997
666 919 135
76 702 54
864 870 547
664 562 3716
267 274 3599
769 145 1163
823 183 2271
504 540 262
115 943 4401
628 317 1277
528 937 2299
474 804 237
230 125 1227
349 273 3640
721 96 1891
866 594 1396
325 262 4319
578 112 1679
934 991 2509
866 565 3000
893 58 640
483 781 957
482 944 2016
349 936 806
872 632 4843
712 799 4467
39 653 1769
525 281 3414
370 578 1863
446 182 828
299 710 3543
457 876 4791
534 463 1793
663 708 4191
172 813 4225
267 561 3276
890 767 3561
33 408 3732
485 856 4444
969 177 2766
865 842 1945
641 343 4394
713 863 4993
600 575 147
185 552 1016
921 492 3888
377 870 4766
513 348 648
404 320 1858
351 26 4769
513 868 4356
550 259 4906
818 738 4459
271 720 1333
391 372 1265
397 40 3642
439 135 4988
987 20 1469
79 675 1671
872 131 3170
161 692 2477
520 499 2254
976 466 2206
300 297 1218
486 889 1476
876 993 4593
404 902 2310
447 284 2647
683 264 2373
407 12 865
167 733 1879
286 914 853
400 564 778
599 630 4550
205 395 4668
8 564 1059
651 47 2389
416 971 697
26 238 1990
4 345 1200
50 16 628
51 599 2736
476 398 2533
329 218 1773
309 875 1332
765 924 292
787 176 1509
119 247 722
387 258 3482
362 907 2160
452 980 3143
385 794 3212
772 509 686
115 281 1524
99 916 1253
629 123 654
615 613 369
781 36 779
752 935 418
422 596 990
934 863 2425
835 735 2416
212 303 1481
569 214 2995
79 182 1602
318 354 311
835 551 2382
151 556 4981
780 416 2624
819 318 1955
788 584 2882
210 406 1125
926 189 1051
589 672 2235
407 709 4811
402 954 3567
957 565 4698
332 643 4402
214 213 755
953 550 364
491 881 2811
118 915 2558
696 224 4080
813 625 2739
43 452 2362
717 687 1320
835 429 884
566 786 4634
84 363 2600
904 343 1005
584 442 4542
912 425 3009
306 122 2135
109 527 2827
59 21 1826
586 294 1288
559 80 3691
846 180 3984
843 394 2868
455 167 1697
406 396 1723
962 781 1206
111 29 1827
123 806 959
993 921 424
575 411 1427
458 354 3708
778 114 4728
339 296 717
118 995 1512
937 74 1540
229 852 1745
593 660 2337
767 220 718
754 720 3826
254 270 425
333 875 4937
198 285 513
911 644 2436
742 399 4392
187 875 4705
166 977 31
676 767 3194
371 66 1720
984 226 941
796 214 2194
102 847 1017
687 513 291
95 185 2027
622 562 1070
413 181 2313
79 380 4838
343 651 1244
685 15 3811
699 732 3808
624 263 4862
578 906 1219
7 241 3902
493 236 3192
360 642 4082
711 251 4877
113 46 2893
10 855 2535
91 274 2041
594 27 4362
445 22 3433
978 595 3174
235 745 1556
914 984 1331
440 587 2024
9 937 2309
213 290 3086
284 964 93
951 490 1354
445 605 3565
993 648 2914
831 358 2613
473 259 2427
524 14 2758
882 520 4261
544 507 700
551 213 1883
297 215 1115
455 244 3582
855 541 1005
907 318 785
48 750 4410
176 481 2226
74 82 549
887 611 3062
249 147 1448
860 315 459
544 543 3154
87 427 4937
282 389 2477
873 152 4819
536 29 296
288 81 3462
128 402 2132
21 131 4197
276 756 1024
633 441 4428
136 653 1967
924 538 3573
33 295 4042
802 458 2741
713 540 4296
706 131 3465
696 560 3101
868 70 1632
68 953 819
762 106 1078
594 828 3973
929 406 4934
959 992 1658
983 638 415
423 585 1844
861 394 497
143 713 1513
667 613 1602
704 999 2932
68 759 507
868 464 876
958 277 3237
295 212 2549
118 18 1388
322 707 1238
193 573 577
987 723 2258
55 645 69
837 507 459
914 876 2492
656 559 1216
514 871 885
324 639 1240
402 136 2333
991 4 314
961 17 4625
177 276 3778
708 538 1323
339 102 2687
413 390 1960
200 368 2333
272 816 3854
996 477 3518
748 900 2471
503 288 2775
800 275 2834
511 1 627
788 585 4202
758 223 1364
266 27 1240
293 986 2530
409 415 1571
136 450 2555
839 967 638
331 226 1084
62 499 575
792 418 2681
858 2 4505
651 245 936
971 754 4022
143 937 3292
188 723 1129
209 153 3436
899 541 2443
325 479 563
759 60 3846
248 843 1235
826 23 2781
710 406 1852
937 29 1681
807 185 2674
924 677 3452
711 931 4503
779 874 2629
870 630 110
696 246 1015
906 840 4746
314 234 4950
494 163 3009
309 876 2740
463 848 812
332 538 3010
264 914 373
389 865 1400
475 489 2318
654 962 895
309 248 576
393 30 4785
309 792 2342
493 422 956
62 507 497
420 704 4826
727 529 3822
83 552 2572
301 297 4698
380 291 807
219 29 2126
68 733 1215
260 339 2079
494 660 649
822 569 2038
760 293 1347
292 401 2622
993 490 4035
345 51 2894
235 23 1066
866 7 239
388 254 3052
86 431 4834
131 124 3653
733 376 2902
291 427 2071
80 194 3464
809 947 1785
571 505 975
183 655 34
255 550 1908
595 133 1087
28 104 1097
590 107 2051
586 143 286
377 802 3978
287 269 3679
946 351 720
214 317 618
110 5 364
820 145 811
629 66 3960
110 578 2561
680 795 9
315 102 4989
989 601 941
667 597 4839
890 386 2136
971 806 3115
987 565 3989
710 943 3141
945 383 3598
301 336 3960
65 523 345
300 733 3983
901 457 1373
571 407 3010
909 270 3812
923 303 2369
530 501 1596
67 717 4647
896 584 87
410 256 590
287 185 1072
505 544 3744
676 170 2132
286 519 481
142 486 4547
60 67 3929
325 271 1449
562 380 2536
517 160 1362
31 775 3608
861 752 1078
822 989 2494
603 103 2725
531 282 4517
262 772 2874
36 907 2744
934 963 4714
4 616 761
355 511 3714
598 720 938
867 596 2746
258 960 2041
736 676 2851
749 539 2891
239 40 3855
265 186 3757
186 846 4162
398 255 2334
678 897 101
674 127 4645
97 12 2377
358 583 1307
161 190 1248
507 249 1171
524 299 1604
632 166 886
772 873 566
878 212 3799
492 369 2723
676 454 1575
288 321 2966
718 964 3175
838 343 3154
507 791 1450
965 497 3248
863 808 390
659 198 4399
433 265 4152
308 977 4751
462 510 960
393 342 3195
898 301 350
780 515 1259
951 232 4890
262 595 4804
271 760 3164
730 282 2923
358 799 2663
387 233 2209
635 96 1536
789 814 722
608 319 1633
975 787 4223
386 628 3452
313 283 3632
483 363 988
782 446 4395
874 142 3366
372 739 1868
372 401 3786
9 267 1760
333 396 4488
144 465 888
344 880 3394
398 773 4603
573 550 1255
479 960 701
861 688 1442
290 88 1668
161 98 4984
628 515 1768
170 793 4600
101 251 3607
216 342 504
881 911 3820
660 352 2020
974 951 4171
348 428 3930
764 654 3177
3 800 4968
624 689 3858
553 380 983
56 613 508
221 725 3682
189 549 3914
886 606 633
648 201 2480
97 189 130
409 971 2322
283 702 2617
701 149 214
470 802 1256
970 919 48
484 877 4474
75 631 3616
126 922 4168
926 84 1657
685 805 4333
49 997 3363
374 9 1680
356 512 642
238 643 1535
551 194 3061
399 233 1897
398 766 2407
953 467 3896
188 302 2036
730 296 1421
895 440 2657
867 928 230
400 229 2528
407 899 4704
321 572 1204
96 162 1746
253 174 1203
695 784 202
321 962 4009
194 85 1209
269 743 360
228 425 3788
679 411 88
155 839 3398
336 79 4289
238 199 450
560 763 2273
184 761 1181
44 388 1253
423 652 888
581 490 3437
65 361 3708
89 559 3673
153 637 4752
289 960 480
87 334 926
164 998 2005
870 294 787
142 896 3241
70 37 320
372 656 1674
641 584 4654
672 246 3469
355 531 1319
731 910 2202
691 968 4695
678 188 391
464 699 3266
46 520 3711
281 786 1313
117 482 804
54 753 1685
320 310 3688
973 997 3180
406 172 4213
42 816 1069
507 952 4712
34 151 1320
658 265 2397
667 961 4011
512 744 1145
116 20 3276
373 849 4182
426 460 1931
977 47 3768
479 210 3946
680 318 4614
468 882 116
596 510 1986
287 64 2998
107 215 1575
477 219 701
457 158 3199
168 815 3455
186 113 3551
982 93 3439
591 970 1197
423 113 3254
206 480 988
417 286 2814
683 428 3632
57 793 4005
783 285 4331
314 955 1084
146 901 1119
107 226 3313
719 304 4642
519 633 1055
32 713 1794
818 764 155
378 911 2580
340 811 3274
145 698 1714
532 979 3771
84 424 484
505 149 3226
904 845 2712
999 217 2726
819 124 1909
853 192 4122
941 610 3002
569 630 1283
542 781 3529
416 77 2730
588 440 4003
455 135 4737
477 42 3583
859 895 2043
315 208 130
690 828 251
730 727 4914
203 187 2727
67 353 4029
703 182 2679
688 875 1127
534 850 2111
594 581 694
159 664 4683
290 29 902
725 490 2148
615 218 6
383 452 3417
222 751 4788
947 234 4034
182 387 1929
680 337 4141
811 350 4056
596 676 1346
182 16 4265
658 458 1429
152 777 3804
354 983 1640
801 315 62
548 474 4416
543 448 2037
149 252 765
260 349 3406
944 766 4514
513 591 2982
666 263 3501
671 329 1857
957 771 1047
386 459 3673
94 402 940
222 504 3823
501 641 1375
591 244 3695
842 487 1685
248 245 2693
336 487 4346
335 981 4873
281 164 3203
78 537 1285
352 480 2748
856 552 1423
176 35 2268
760 778 2373
320 901 3874
730 709 2265
485 562 643
12 840 3579
535 741 29
56 164 2171
420 863 45
512 937 4254
578 234 4967
214 322 3461
430 815 926
857 718 423
440 173 3980
189 273 435
331 184 3933
4 797 2545
743 596 2027
854 539 1658
922 204 3222
756 768 2167
792 169 1541
254 177 3811
78 33 943
196 158 3476
831 566 4846
686 126 4092
836 326 909
599 497 3423
951 584 1122
405 642 4156
123 608 1472
590 904 336
891 105 4018
25 684 1527
515 293 3300
713 350 501
775 489 1447
371 199 387
745 560 1466
144 387 2210
688 15 990
42 73 3745
802 878 3238
116 290 2696
818 435 1733
99 696 598
582 759 3675
857 211 4980
713 584 3901
358 239 1147
7 296 3172
398 250 2370
523 776 1498
827 712 4220
954 8 2468
263 880 4947
284 471 287
646 378 3446
830 457 321
242 64 4980
233 651 4461
160 605 3396
220 232 1053
584 397 4720
818 843 1645
728 867 4450
982 632 2102
958 258 113
586 599 4940
329 585 1099
826 923 4478
275 410 1106
129 81 2103
220 855 1719
832 754 2253
660 330 3631
316 178 479
993 957 1864
627 214 4509
742 772 4184
747 942 2335
433 471 1775
461 959 2759
763 269 2443
699 84 2508
391 450 4169
591 588 829
776 338 2321
782 696 261
136 824 175
727 772 3792
653 727 3140
320 275 1092
336 48 3286
379 76 171
622 488 2742
972 404 4315
646 26 2691
45 536 4896
1 955 2813
311 120 474
626 746 155
872 383 4106
985 582 4197
826 391 640
860 619 801
882 25 3658
697 13 4725
238 800 3633
552 174 1896
10 124 1902
980 207 1262
708 576 2320
697 323 523
653 135 1247
355 595 2321
931 494 2709
722 480 1642
747 766 2042
800 757 4128
165 130 3152
84 888 4408
248 455 2042
138 885 4782
700 430 678
612 374 4474
848 890 3900
393 473 4394
442 308 1148
132 801 1329
818 471 131
292 586 306
590 570 2123
581 970 4907
729 28 2357
552 846 284
998 834 1035
10 797 2294
31 246 2670
324 268 474
953 782 947
920 261 4326
451 417 1604
554 381 2862
676 84 4335
772 755 2265
973 578 731
727 745 1099
657 182 2107
756 680 1128
592 421 802
365 264 4438
955 124 3368
34 937 1392
367 426 3086
352 459 1483
925 869 1365
62 468 1344
283 548 4829
16 482 2980
531 467 2288
154 240 29
740 172 1854
95 279 4615
665 85 1365
747 961 1980
118 67 2688
298 674 3711
3 459 2671
102 693 2623
455 6 3408
524 167 1766
197 916 2349
632 849 4291
847 678 1975
488 454 3944
412 459 2654
131 903 1456
374 472 4444
854 153 4802
685 707 3656
357 420 850
932 321 2094
778 748 636
117 728 1342
2 213 959
158 878 1076
536 280 3444
145 888 2632
452 547 4785
284 810 3697
884 240 116
224 720 600
920 32 806
971 112 1410
560 537 766
837 43 4858
604 288 1197
936 291 2771
742 675 4902
185 8 4260
112 251 1099
282 331 4521
865 837 4184
305 770 174
154 665 2894
428 74 2201
310 721 547
428 157 2572
790 544 3744
297 39 145
64 467 1918
352 103 2178
852 395 2768
217 587 1277
308 1000 649
374 612 3528
155 363 829
875 506 230
353 165 3862
579 94 4135
710 779 3884
556 787 3758
123 845 729
256 373 1042
950 503 1868
231 962 1279
425 920 173
781 202 593
24 5 1655
718 380 3957
445 289 4289
338 385 2770
791 55 1082
968 516 257
35 783 241
142 224 4168
412 927 511
371 662 4071
749 774 953
147 794 2641
540 556 3290
205 705 3963
38 86 95
130 248 2675
962 789 2579
70 690 1232
269 573 719
356 450 4639
366 676 4379
872 438 4825
51 609 4564
577 409 170
462 660 2538
441 711 1948
367 153 2524
812 120 4064
611 926 4935
264 434 3468
849 901 4485
999 795 41
343 425 3416
639 135 118
166 251 3919
235 728 3424
204 865 4892
457 594 3231
843 28 1609
475 5 410
495 874 1255
493 384 4668
804 574 56
978 913 205
254 764 3213
585 934 2625
111 323 1140
786 567 2018
103 809 2482
754 990 1286
172 690 396
447 536 3180
891 382 1264
219 74 280
766 861 2605
252 295 2441
795 711 73
461 934 4420
984 156 4285
756 354 3368
49 678 2920
70 440 3890
41 400 1206
59 438 1012
824 420 818
517 707 1039
401 666 849
102 27 2473
263 81 1130
485 331 1123
984 277 4656
369 314 3461
651 770 2973
16 466 1981
212 609 3297
313 756 864
117 401 3450
719 388 2388
203 474 4326
225 28 1719
619 225 3949
639 432 1680
265 336 4777
248 94 1445
994 282 2333
550 855 3769
451 617 1432
851 297 2292
884 938 91
542 929 1542
308 677 340
471 395 4220
950 541 3854
906 933 2984
632 88 304
898 987 3721
124 351 4165
343 368 720
454 237 447
611 276 490
120 975 1819
581 537 1678
739 681 446
951 735 4215
592 135 2249
38 628 989
212 270 3891
223 489 1778
855 569 1823
910 5 3412
354 818 318
878 447 3466
782 756 1116
804 150 710
301 863 2270
503 582 4452
19 656 784
752 653 4140
249 20 3654
222 967 707
442 142 2696
486 519 2897
181 372 1097
254 490 138
315 941 2585
122 832 1791
606 550 4211
748 378 1328
131 368 263
517 278 2912
526 965 4161
186 89 3004
775 764 3567
991 684 1008
42 145 1435
254 628 1513
957 49 2171
293 332 3114
244 478 1136
228 673 2827
740 782 3510
718 688 3152
725 547 10
546 879 3587
559 218 696
201 563 4279
534 990 4059
11 846 3776
622 120 4403
505 74 4770
121 431 4879
511 705 3847
37 148 1190
732 416 4518
715 730 4203
384 585 668
223 476 1850
255 25 4718
299 889 1750
440 626 561
125 649 2426
775 182 2280
160 218 1215
394 779 4335
771 766 1407
524 283 288
415 20 310
70 129 3299
780 848 4564
231 236 1764
20 56 2102
137 100 451
126 191 1574
958 614 4665
595 606 2922
861 230 3050
312 683 2600
422 740 3580
727 966 176
949 664 2016
466 467 1630
209 768 4634
146 193 1571
228 455 4742
701 803 919
663 452 3884
220 839 1692
590 14 1377
532 388 2272
938 441 702
936 122 906
175 989 1628
82 392 4398
565 479 472
565 427 1912
91 121 3131
197 246 1650
13 582 4063
266 571 616
94 453 462
555 892 2755
635 579 4028
525 589 2711
366 721 2115
371 355 3664
8 158 3838
365 619 3808
54 946 2463
863 943 477
467 875 3484
69 406 1196
12 738 2798
296 895 3255
128 350 3310
292 563 425
181 936 3833
625 746 427
1 276 3228
50 850 602
47 346 1089
408 788 4595
521 207 2583
92 480 2127
448 105 3841
905 823 2497
207 154 3351
219 392 1566
278 285 225
453 573 4033
312 333 1405
586 118 3897
319 665 2992
707 797 3273
465 258 3978
174 565 4425
850 418 3537
221 244 3083
267 736 4392
554 193 3274
421 788 378
965 887 4478
744 47 3080
330 759 472
809 237 3001
704 478 2424
942 941 3203
879 548 2299
547 717 1201
931 339 296
945 960 3461
988 516 3518
452 773 187
564 963 1379
918 723 496
696 948 557
356 622 3920
428 421 1245
661 78 461
108 442 4871
475 597 3543
19 521 3410
535 257 3057
791 588 3089
336 534 1058
820 739 221
553 752 2133
655 999 3716
742 229 1463
122 929 2719
392 964 2878
34 385 2698
91 60 1683
529 889 1259
533 385 2903
941 305 204
235 952 529
522 462 169
963 860 4019
348 605 2207
333 142 2100
201 269 1544
495 694 2480
859 420 1872
413 950 2313
792 843 3609
528 358 4641
99 422 4964
594 966 458
409 458 1129
63 475 1100
416 809 996
345 386 1502
615 44 1991
585 809 3755
345 198 823
802 977 2237
173 383 2599
675 893 3230
161 275 3674
873 659 1427
675 194 1117
293 963 1449
565 466 2078
560 609 4211
397 582 3444
522 975 474
375 155 2600
795 909 2078
429 969 2640
687 467 4366
26 406 2630
149 635 3660
180 480 4994
131 488 4093
222 979 2639
985 463 4362
428 995 4621
78 751 1355
701 781 4347
155 944 2757
537 997 2446
421 457 1009
365 252 2956
841 604 1311
344 733 2103
621 485 2140
905 843 1661
972 157 976
207 183 4215
711 170 3988
619 610 2393
60 372 2223
719 927 3636
443 124 88
492 925 1111
619 133 432
871 927 162
576 187 1992
71 789 948
281 522 368
115 294 3343
938 858 148
57 838 2976
896 627 415
3 171 1903
205 5 1859
605 209 2804
209 822 4790
584 163 2333
250 510 2038
326 354 4099
167 603 1458
196 56 923
152 953 4614
917 668 2081
58 899 3433
319 283 3427
829 213 4148
173 868 1553
471 81 1898
595 620 4846
485 421 2040
157 284 1819
334 960 1433
176 424 1292
570 808 1612
582 930 1420
429 334 4691
880 602 2044
429 813 642
741 216 1847
164 672 1375
882 605 3670
29 98 2332
777 469 1276
848 400 3775
808 336 2798
941 261 1323
40 189 3200
108 700 4774
987 963 323
819 980 922
383 220 2076
821 840 146
161 514 3792
310 850 1091
232 249 2473
77 78 2123
197 104 3530
952 962 4082
280 600 4452
451 532 3733
863 199 3003
157 840 2002
480 480 1670
640 710 2131
508 621 2453
195 341 1669
651 936 1559
214 229 1509
352 81 3458
458 995 1592
297 580 210
132 631 2099
43 477 1827
830 754 3022
803 852 1332
341 544 859
354 990 4711
507 161 1172
64 367 2969
619 233 2584
374 419 4518
281 544 69
631 604 2526
374 791 1507
441 203 2557
129 548 1064
276 554 4317
961 415 2127
711 707 2332
454 899 1311
167 584 2934
431 375 384
772 678 3702
599 507 473
955 375 2211
210 840 3948
492 398 3376
556 94 3738
940 8 4238
796 682 44
607 626 4741
448 231 921
692 320 958
859 135 565
222 664 2216
470 898 4387
943 523 2798
79 660 2355
96 174 642
175 960 2615
180 488 1799
429 949 1445
793 427 966
924 250 4914
254 249 2161
449 744 3407
437 516 1923
711 640 4372
683 439 573
455 108 4748
912 780 410
359 233 802
436 276 4271
531 482 931
9 611 3464
19 621 4965
222 49 4785
419 956 2539
216 971 2132
222 400 4668
504 497 2402
834 796 1866
357 759 500
357 137 3926
845 13 88
926 80 1355
890 253 1052
334 571 1427
819 930 2795
828 428 4663
187 182 2328
394 267 3307
932 664 2156
675 839 1141
836 596 836
828 954 2647
21 580 1852
735 690 1117
243 867 3633
570 301 1767
892 897 3049
287 750 2314
623 651 2387
947 139 4820
38 419 2662
169 341 1325
656 573 4776
106 734 511
426 877 4050
628 131 1282
544 500 2986
786 333 1370
591 435 2619
814 525 414
313 254 1311
251 983 654
644 530 2451
904 289 1774
993 812 4672
596 84 4205
713 271 371
423 608 1054
939 335 3544
18 576 1817
297 70 2582
940 57 2481
175 100 415
793 481 4900
282 237 2169
287 239 1780
115 697 2632
856 595 2058
544 448 3561
864 629 408
747 520 1311
290 761 4532
814 670 4772
894 447 1624
487 395 1630
114 518 823
678 371 4668
180 132 3416
187 18 4248
327 699 821
730 304 3921
57 363 2072
580 681 2023
369 627 4834
250 344 134
343 515 687
857 709 2298
458 717 1690
488 429 3734
830 967 2210
359 281 1267
9 505 2001
522 251 2703
25 681 2295
793 596 3344
715 390 67
584 307 70
458 541 4950
7 934 367
131 939 1661
318 515 4
347 496 640
733 531 2582
716 283 635
419 132 3121
789 378 3131
743 935 3986
245 766 1060
362 804 152
100 121 4365
635 963 4888
948 349 3364
872 102 2267
250 351 4559
422 399 1219
590 277 4409
558 759 4072
243 974 2444
819 560 509
143 255 4609
665 266 3555
314 355 3451
849 853 1207
37 22 858
591 46 4381
946 488 673
683 309 3381
210 514 2137
748 399 2748
199 293 2586
797 67 2558
594 100 47
326 51 3588
807 497 3409
573 700 3953
577 90 4961
165 662 461
68 252 2951
56 376 1613
337 621 599
62 352 2326
395 720 1113
686 184 1226
315 560 4408
321 205 2779
378 609 3541
103 256 683
436 27 1540
736 910 210
285 274 2959
295 318 3766
130 985 4827
346 94 1899
506 930 2503
39 209 583
112 981 2908
761 896 1096
934 414 1493
685 941 2176
686 884 704
560 496 1019
64 271 4056
63 606 3125
620 734 2065
720 607 3295
837 470 1836
339 684 3831
17 69 1101
484 27 4240
11 502 1666
754 86 1942
872 883 800
403 254 3022
986 178 2204
917 402 4700
347 886 2729
733 278 271
256 33 2089
743 892 4239
602 863 4835
617 534 1108
669 951 4166
477 341 1119
461 395 4271
990 443 3294
334 629 1199
722 302 880
416 824 3584
719 841 4106
438 90 1893
183 766 961
807 804 960
851 103 3698
434 258 2832
771 320 2493
691 386 82
621 336 4189
940 648 3903
879 545 2440
669 381 4320
161 284 3298
731 336 3429
324 529 1678
968 937 4470
976 583 152
849 743 1134
520 511 1872
988 382 4398
421 897 3720
837 598 2379
157 739 4448
656 352 4885
608 430 4334
738 4 3491
404 166 1735
663 245 2702
474 54 1428
96 235 4851
82 573 4556
311 879 302
961 752 2978
585 309 2800
105 766 1622
798 546 393
574 403 459
527 888 330
586 2 2589
694 414 147
652 990 1880
605 263 4779
120 524 2893
723 152 4409
867 96 634
172 810 3104
951 889 1796
923 286 865
110 474 2707
799 287 728
926 281 2190
437 73 3856
280 853 1798
600 826 1763
395 949 4837
574 415 963
317 999 767
588 826 4917
125 434 438
288 800 480
496 890 1917
918 542 107
303 717 33
492 360 1926
416 566 2823
256 560 1165
691 799 633
369 655 4858
104 333 1204
623 335 4838
867 235 4077
461 837 2523
174 616 287
767 170 3960
535 966 1189
860 480 4529
859 185 17
645 523 196
516 678 1472
672 322 1226
867 968 4688
476 914 2064
185 423 1916
688 718 606
327 922 640
162 779 1
359 2 439
972 395 4324
89 8 2369
765 506 2916
769 727 4405
680 59 796
407 820 2305
992 420 3792
192 757 10
366 301 4302
819 586 4834
243 25 4430
492 592 2354
26 642 275
865 972 2230
601 552 4820
904 90 1358
928 788 4459
281 862 3873
579 923 1967
140 389 2912
89 501 671
279 180 535
758 852 3311
520 896 4154
23 21 3241
353 97 3943
666 351 2247
583 985 2972
988 349 1985
697 98 4472
435 834 957
418 634 2788
642 220 2673
539 986 3874
795 57 752
773 735 2627
207 223 4674
143 239 4831
879 54 4600
255 439 916
679 389 1961
570 181 211
856 281 1594
837 352 3495
295 523 3165
705 689 2297
710 339 2844
375 969 334
440 221 4651
576 977 415
177 768 2038
31 955 4303
137 317 1124
625 931 4276
489 21 1770
238 800 2027
727 16 1045
336 796 3328
366 24 1638
25 726 4629
145 966 3696
646 282 1052
698 679 4208
635 838 4927
480 170 697
251 364 3331
886 194 3249
124 856 288
261 299 972
529 985 3664
434 404 1405
690 834 689
886 201 4181
109 550 1770
554 599 2681
902 89 890
962 819 2880
57 996 4324
494 40 1655
193 991 648
747 279 474
392 273 1001
608 346 1742
80 230 3417
523 2 312
817 734 255
875 494 1230
29 972 474
642 522 3527
158 834 4547
563 587 2155
423 744 1816
456 842 1508
318 133 1229
528 545 3432
236 396 325
558 182 4533
545 871 2100
231 788 182
349 60 2157
490 495 1912
972 346 2132
419 510 2717
90 733 3232
315 592 1154
149 494 2334
79 949 3203
871 754 4258
370 249 4371
704 156 3161
864 774 4171
662 836 3441
474 922 4057
803 197 4495
673 761 1904
470 888 1734
793 436 2722
285 636 1650
559 119 290
484 485 4687
799 876 486
365 274 4847
919 552 1208
537 846 740
7 448 1788
674 521 1083
636 978 2486
603 349 4496
357 775 3997
14 603 2621
701 638 2890
287 258 353
566 523 4246
72 827 3259
583 724 1690
279 722 3954
166 146 593
65 412 3040
320 689 3000
775 475 2904
582 341 4887
854 882 3350
260 743 4649
14 672 3059
421 231 3975
151 958 3608
387 277 4370
467 312 2551
514 161 675
191 598 795
243 752 4421
356 436 3059
103 69 3707
469 316 4253
618 897 2763
366 176 4337
911 297 3201
865 998 1389
31 832 1563
353 298 4455
995 589 3656
985 719 1805
154 241 1498
91 769 2652
186 832 863
710 148 4229
352 173 3883
704 944 1998
815 727 586
274 1 3337
916 412 2400
192 252 1786
224 287 2811
532 101 3596
27 689 3058
945 227 3653
29 173 253
983 900 1062
679 853 2014
877 758 4819
45 763 4858
742 100 2491
999 792 4273
861 943 485
168 909 4190
252 458 1637
989 525 3510
295 822 4055
768 331 2779
323 101 1549
320 508 2101
494 561 3186
465 153 2294
987 444 3717
427 485 4391
225 555 3647
604 605 1946
421 708 2457
678 298 2263
279 263 3012
47 856 2276
695 325 3751
188 334 4988
472 189 2683
943 320 3824
417 190 2299
805 669 700
78 485 4808
144 68 4898
344 430 3423
229 611 3731
285 121 4842
468 561 487
35 765 3466
196 488 2365
839 152 3365
411 92 4382
4 26 879
344 267 4464
949 744 2535
507 537 3153
905 814 657
944 950 4110
962 788 2410
704 346 4608
355 905 4661
42 258 441
929 679 3584
565 66 3816
629 428 1216
113 852 1672
842 103 1380
516 172 4952
216 511 4818
671 135 3674
48 870 792
411 175 4205
237 740 2019
601 50 4593
894 454 379
488 357 1367
324 92 36
164 365 1673
586 707 1277
190 612 1684
517 969 2376
338 864 1393
594 997 4068
728 203 3715
748 252 2475
210 884 2129
797 79 4768
774 632 2020
818 336 274
711 181 2772
389 113 2582
750 168 2814
857 759 2021
199 303 616
523 685 66
838 104 89
342 371 1242
343 664 4357
162 609 2991
55 668 4886
229 288 3156
422 654 1323
896 984 899
788 557 3603
681 328 11
720 746 855
409 398 2958
955 367 4564
674 191 3557
596 628 1783
526 459 666
875 243 4327
292 537 4268
992 488 389
125 672 1465
887 409 302
477 593 1392
99 64 4568
90 601 2563
547 74 4907
390 84 1120
956 3 2913
566 466 1198
821 508 39
301 261 1493
386 598 3605
102 453 3578
213 414 2748
457 122 735
51 809 4974
167 787 4700
600 454 2565
95 983 923
105 965 663
303 857 139
794 905 1194
252 210 461
65 979 3016
495 909 1641
83 242 1376
187 399 4953
550 536 3799
623 729 1908
211 446 3200
281 277 4423
23 7 1865
58 392 932
529 766 1471
686 713 4752
437 959 2567
387 191 3918
288 54 175
838 689 843
383 294 2300
750 262 3954
772 69 1396
464 500 1548
233 509 4118
380 271 1426
44 892 538
453 944 4287
587 742 2819
481 598 4868
800 532 4925
445 221 1361
439 226 3839
639 226 1304
941 163 1753
806 857 2247
141 751 4243
488 299 4261
46 551 2907
158 755 738
570 688 2944
174 277 4552
143 789 3152
826 908 2281
198 615 2437
15 629 3814
4 683 4301
375 267 4145
397 576 1237
327 441 1419
487 500 2319
192 232 3483
298 479 2269
821 245 3051
866 211 1213
89 163 1740
127 101 3429
307 603 2105
634 707 4410
235 319 649
832 390 2364
423 26 3358
637 486 887
879 761 484
288 366 625
510 4 1771
693 11 1193
856 958 642
516 140 648
115 905 4617
430 445 3943
83 596 2966
343 150 466
323 968 2200
405 41 4095
322 671 1442
582 46 1129
245 183 726
234 455 1785
512 279 2244
838 157 3410
559 48 2234
423 612 2596
375 240 1079
66 294 2635
427 879 4424
9 415 265
728 771 4931
898 134 3296
147 785 927
614 762 1541
522 940 3807
801 298 4417
474 616 1002
41 18 3051
270 892 389
501 936 2983
141 973 4571
611 402 2721
265 184 2845
893 538 4679
337 389 781
458 964 1249
963 857 2542
846 608 4173
758 608 4643
758 473 1540
350 717 2970
70 117 1605
691 573 484
617 730 1131
106 375 569
598 636 1246
811 650 4721
632 791 1166
728 994 2064
890 19 1784
536 956 2746
744 512 3544
598 676 3994
826 527 4273
14 794 557
642 929 242
922 185 1367
38 554 498
274 166 2904
811 258 1000
225 806 3179
678 954 2200
532 559 2320
741 719 4610
249 119 4058
736 651 3960
506 369 1794
762 733 276
68 307 3146
430 447 2362
711 646 721
986 93 1600
544 951 2089
159 188 4937
995 345 3944
123 509 4298
596 8 111
965 342 2394
891 225 3522
673 477 2716
109 686 1798
568 478 1579
883 756 4728
791 454 2491
490 61 649
409 130 167
795 548 2082
861 121 2194
163 950 1170
225 22 1232
695 502 2369
154 614 767
552 454 2576
562 826 51
227 592 2755
388 154 3499
912 869 2567
647 189 1291
670 19 3735
