  Number     Name    CFNHWG0001  CVODGT0002  CPXIJU0003  CETDXH0004  CGCCDR0005  CGARWR0006  CPAKQS0007  CEZNMQ0008  CVECRX0009  CHFWUG0010  CMSONV0011  CELMFZ0012  CBIIFR0013  CAOKHQ0014  CGJAPT0015  CZUTDS0016  CJAKDJ0017  CZMWTL0018  COPJOP0019  CFPHJF0020 
 20190211  KLVC0211      No          No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         Yes         No     
 20190212  KGXY0212      Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          Yes         Yes         No          No          No          Yes         No          No     
 20190213  EQNB0213      Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         Yes         No     
 20190214  AHPB0214      No          No          Yes         Yes         No          Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          No     
 20190215  PMAF0215      No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No          Yes    
 20190216  HQOH0216      No          No          Yes         Yes         No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No     
 20190217  SIKX0217      No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          Yes         No          Yes         No          No          No     
 20190218  OUGY0218      No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No     
 20190219  QPKM0219      No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No     
 20190220  ZDGZ0220      No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No     
 20190221  AJHO0221      No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          No          Yes    
 20190222  RAGJ0222      Yes         No          No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No     
 20190223  IFQU0223      No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No     
 20190224  JUCY0224      No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes    
 20190225  KEBM0225      Yes         No          Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No          No     
 20190226  PNXT0226      Yes         No          No          No          Yes         No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          Yes         No          No     
 20190227  ROWW0227      No          No          No          No          No          No          Yes         Yes         No          No          Yes         Yes         Yes         No          Yes         No          No          No          No          No     
 20190228  EKSD0228      No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          No          No          No     
 20190229  PGJP0229      No          No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         Yes         No          No          Yes         No          No          No          Yes    
 20190230  OAMU0230      No          No          Yes         Yes         No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          Yes         No          No          No          No     
 20190231  UVSK0231      Yes         Yes         No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No     
 20190232  YILH0232      No          No          No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         No          No          No          Yes    
 20190233  OZMH0233      Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No     
 20190234  TOOZ0234      Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          Yes         No          No          Yes         No     
 20190235  VUZO0235      Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No     
 20190236  UTXD0236      Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No          Yes         No          Yes         No          No          Yes    
 20190237  BATL0237      Yes         No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          No     
 20190238  NORB0238      Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          Yes         No          No     
 20190239  MCXH0239      No          No          Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          Yes    
 20190240  NMXS0240      No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          Yes         Yes         Yes         No     
 20190241  EALV0241      No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes    
 20190242  EUEW0242      No          No          Yes         Yes         Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No     
 20190243  KUCE0243      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No     
 20190244  TUCH0244      No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No     
 20190245  WDWN0245      No          Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No     
 20190246  KHSB0246      Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No     
 20190247  UGZG0247      No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          Yes         No     
 20190248  TOLJ0248      No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No          No          Yes    
 20190249  VDHJ0249      No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          Yes         Yes    
 20190250  IXGX0250      No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         Yes         No          Yes         No          No     
 20190251  QCUP0251      Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          No          No          No     
 20190252  OKRC0252      Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes    
 20190253  EMMA0253      Yes         Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No     
 20190254  STOM0254      No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes    
 20190255  BADA0255      Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          No          Yes         No          No          Yes         Yes    
 20190256  PSTR0256      Yes         No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         Yes         No          No          No          No          No          No          No     
 20190257  HXJS0257      No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         No          No     
 20190258  KHPH0258      No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         Yes         No          No          No          No          No     
 20190259  AGVQ0259      Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          Yes    
 20190260  ALFE0260      No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No     
 20190261  WOBJ0261      Yes         No          No          Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          No     
 20190262  UKZR0262      Yes         No          No          No          No          Yes         No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         Yes         No          No     
 20190263  QZJA0263      No          Yes         No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          No     
 20190264  ZPHL0264      No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes    
 20190265  IWEE0265      Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No     
 20190266  ESRZ0266      Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          Yes         No     
 20190267  FWVD0267      No          Yes         Yes         No          Yes         No          Yes         No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          No     
 20190268  GOFD0268      No          Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         No          Yes    
 20190269  AOBB0269      Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No     
 20190270  RFOK0270      No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          No     
 20190271  FXYA0271      No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          Yes    
 20190272  JDPT0272      No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          Yes         No          Yes    
 20190273  OBVL0273      No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          No     
 20190274  WOMM0274      No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes    
 20190275  PTRU0275      No          Yes         Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No     
 20190276  HAFW0276      Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No     
 20190277  OMLK0277      No          No          Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes         No          No          No          Yes    
 20190278  QFXA0278      No          Yes         No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          No          No     
 20190279  GLBE0279      No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          No     
 20190280  QNOJ0280      No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No     
 20190281  SQMB0281      No          No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No     
 20190282  KTMC0282      No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          Yes    
 20190283  PNJS0283      Yes         Yes         No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          No          Yes         No          No     
 20190284  OWWR0284      Yes         No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20190285  MUCS0285      No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No     
 20190286  HCPP0286      No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No     
 20190287  LNMU0287      No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No     
 20190288  RKBV0288      Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          Yes         Yes         No          No          Yes         No          No     
 20190289  OHCH0289      No          Yes         No          Yes         Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No     
 20190290  GBQY0290      No          No          Yes         No          Yes         No          No          Yes         No          No          No          No          No          No          Yes         Yes         Yes         Yes         No          No     
 20190291  LWOJ0291      No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          Yes    
 20190292  RWJS0292      Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No     
 20190293  AQUB0293      No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          No          No          Yes         No     
 20190294  DETC0294      No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes    
 20190295  KMQU0295      Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          Yes    
 20190296  WXIA0296      Yes         No          No          No          Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         Yes    
 20190297  LOFB0297      Yes         Yes         No          No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No     
 20190298  ALJN0298      Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No     
 20190299  RHWJ0299      No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         Yes         No          No     
 20190300  DAVJ0300      Yes         No          No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          Yes    
 20190301  HTVX0301      Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No     
 20190302  GBGX0302      No          Yes         Yes         Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No     
 20190303  MTJO0303      No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes    
 20190304  RFWR0304      No          No          No          No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         Yes         No          Yes         Yes         No     
 20190305  NGTY0305      No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         No          No          Yes         No          No          Yes         Yes    
 20190306  RSZA0306      No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         Yes         No          No          Yes         No     
 20190307  DPMT0307      No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          No     
 20190308  KSSB0308      Yes         No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No     
 20190309  GCBE0309      No          No          No          No          Yes         No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          Yes    
 20190310  ZBOF0310      No          Yes         No          Yes         Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          No     
 20190311  PYDV0311      No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          No          Yes    
 20190312  KTGB0312      Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No          No          No          Yes    
 20190313  NYCI0313      Yes         No          No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes    
 20190314  DWAZ0314      No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          No          No          Yes    
 20190315  YEXX0315      No          No          No          No          No          No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          Yes         Yes         Yes    
 20190316  YNRV0316      No          No          Yes         No          Yes         Yes         Yes         No          Yes         No          No          No          No          Yes         No          No          No          Yes         No          No     
 20190317  BPCU0317      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No     
 20190318  PAFX0318      No          No          No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes    
 20190319  HCKS0319      No          No          No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         Yes         No          No          No          No          Yes         No     
 20190320  EBCU0320      No          Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          No     
 20190321  HXIV0321      Yes         No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes         No          No          No          No     
 20190322  ADUZ0322      No          Yes         Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          No          No          Yes    
 20190323  LNOH0323      No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes    
 20190324  JQFI0324      No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          No     
 20190325  BMGK0325      No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No          No          Yes    
 20190326  SYTA0326      No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         Yes    
 20190327  WWTS0327      No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          Yes         No          No          Yes         Yes         No          No          No     
 20190328  VHEW0328      No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          No     
 20190329  OQJL0329      Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          Yes    
 20190330  IOXL0330      Yes         No          No          No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No     
 20190331  ORYJ0331      Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          No     
 20190332  USRR0332      Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          Yes         No     
 20190333  FEGZ0333      Yes         No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          No          Yes         No     
 20190334  WDOX0334      No          No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          Yes         No          Yes         No          No          No     
 20190335  TZQE0335      No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No     
 20190336  DGSJ0336      No          No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         Yes    
 20190337  CAKM0337      No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         No          No          Yes    
 20190338  LGES0338      No          No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          Yes         Yes         No          No          Yes         No     
 20190339  BGQS0339      Yes         Yes         No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          No     
 20190340  HWGT0340      No          No          Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No     
 20190341  TPIS0341      No          No          No          No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No     
 20190342  GZEE0342      Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         No          No     
 20190343  SXUM0343      Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          Yes         No          No     
 20190344  ACLH0344      No          No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          Yes         Yes         Yes    
 20190345  MGOU0345      No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes    
 20190346  CJIY0346      No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          No          No     
 20190347  AYIG0347      No          No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         Yes         Yes         No          No          No          No          No     
 20190348  NPDG0348      No          Yes         No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          Yes         No          No          Yes    
 20190349  QQAB0349      No          No          Yes         No          Yes         Yes         No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          Yes    
 20190350  POEW0350      No          No          No          No          No          No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         Yes         No          Yes         No     
 20190351  RFDT0351      No          Yes         No          No          No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          No     
 20190352  YRRB0352      No          No          No          Yes         No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         Yes         No     
 20190353  OHJZ0353      Yes         No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No     
 20190354  QJHP0354      No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         No          No          No          No          Yes         No          No     
 20190355  LXKM0355      Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          No          Yes    
 20190356  HWYG0356      No          No          No          No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         Yes         No     
 20190357  JOYR0357      No          No          No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No     
 20190358  DJVO0358      Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         No     
 20190359  ATNH0359      No          No          No          No          No          No          Yes         No          Yes         No          Yes         Yes         No          No          No          Yes         No          No          Yes         No     
 20190360  MPFS0360      Yes         No          No          Yes         No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          No          No          No          Yes    
 20190361  MTQZ0361      No          Yes         No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          No          Yes         No          No          No     
 20190362  FKAN0362      Yes         No          No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          Yes         No          No          No     
 20190363  CIBC0363      Yes         No          Yes         No          No          No          Yes         No          No          Yes         No          No          No          Yes         No          Yes         No          No          No          No     
 20190364  NPWO0364      No          Yes         No          No          No          No          No          Yes         Yes         Yes         No          Yes         No          No          No          Yes         No          Yes         No          No     
 20190365  URKX0365      No          No          No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          Yes    
 20190366  SLEC0366      No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         Yes         No          No     
 20190367  RFVO0367      No          No          No          No          Yes         Yes         No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No     
 20190368  XRRW0368      Yes         No          Yes         No          Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No     
 20190369  KVHI0369      Yes         No          No          No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         No          Yes         Yes         No          No     
 20190370  FVYN0370      No          No          No          Yes         Yes         No          No          Yes         No          No          Yes         No          No          No          Yes         Yes         No          No          No          No     
 20190371  ZGDG0371      Yes         Yes         No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         No          No          Yes         No          No          No     
 20190372  CWOJ0372      Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          No          No     
 20190373  EFOU0373      Yes         No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No     
 20190374  ZEZU0374      No          No          No          No          No          No          No          Yes         Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          Yes    
 20190375  UMAU0375      Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          No          No     
 20190376  VGWV0376      No          Yes         Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No          No          No     
 20190377  VPND0377      No          No          No          No          No          Yes         No          Yes         No          No          Yes         Yes         No          No          No          Yes         No          Yes         No          No     
 20190378  AWHA0378      Yes         No          Yes         Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          Yes         No          No          No     
 20190379  UNQR0379      Yes         No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No     
 20190380  APLC0380      No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         Yes         No          No          No          No     
 20190381  KZKZ0381      No          No          No          No          Yes         No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          Yes         No     
 20190382  WREH0382      No          No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          No          Yes         No          No          Yes         No          Yes    
 20190383  YNLI0383      No          No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          Yes         Yes         No          Yes         No          No          Yes    
 20190384  JZEB0384      Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No          No          No          No          No          Yes         Yes    
 20190385  MSWR0385      No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         Yes         Yes         No          No          No          No          Yes         No     
 20190386  FDTR0386      Yes         No          No          No          Yes         Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No     
 20190387  OKQB0387      No          Yes         No          No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          Yes    
 20190388  OBWD0388      Yes         No          No          Yes         No          No          Yes         No          No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes    
 20190389  XQCY0389      No          Yes         No          No          Yes         No          Yes         No          No          No          Yes         No          No          No          No          No          No          No          Yes         No     
 20190390  VDTG0390      No          No          No          No          Yes         No          Yes         Yes         No          Yes         Yes         No          Yes         No          No          Yes         No          No          No          No     
 20190391  EYEK0391      No          Yes         Yes         No          No          Yes         No          No          No          No          Yes         No          Yes         No          No          No          Yes         No          No          No     
 20190392  YJJM0392      Yes         No          Yes         Yes         No          No          No          No          No          No          No          No          Yes         No          No          Yes         Yes         No          Yes         No     
 20190393  XIJK0393      No          Yes         No          No          Yes         No          Yes         No          Yes         No          No          No          No          No          No          Yes         No          Yes         No          No     
 20190394  XWTE0394      Yes         No          No          No          Yes         Yes         No          No          No          No          Yes         No          Yes         No          No          Yes         No          No          No          No     
 20190395  DECL0395      No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         Yes         No          Yes         No          No          No          Yes    
 20190396  NTRW0396      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         Yes         Yes         No          No          No          No          Yes         No          No     
 20190397  LOCX0397      Yes         No          No          No          Yes         No          Yes         No          No          No          Yes         No          Yes         No          No          Yes         No          No          No          No     
 20190398  TZSI0398      No          Yes         Yes         Yes         No          No          No          No          No          No          Yes         No          No          Yes         No          No          Yes         No          No          No     
 20190399  HDKV0399      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No          Yes         No     
 20190400  MQAC0400      No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         No          Yes         No          Yes         Yes         No          No          No          No     
 20190401  OAEY0401      No          Yes         No          No          Yes         No          No          No          No          No          Yes         No          No          No          No          Yes         No          Yes         Yes         No     
 20190402  GPQI0402      No          Yes         No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          Yes         No          No          No          No          Yes         No     
 20190403  MWBX0403      Yes         No          No          Yes         No          No          No          Yes         Yes         No          No          No          No          No          Yes         Yes         Yes         No          No          No     
 20190404  XHOX0404      No          Yes         No          No          No          Yes         Yes         No          No          Yes         No          No          No          No          No          No          No          No          Yes         No     
 20190405  IKXR0405      No          Yes         No          No          No          Yes         Yes         Yes         No          No          Yes         No          No          No          No          No          Yes         Yes         No          No     
 20190406  LSGC0406      Yes         No          No          Yes         No          No          Yes         Yes         No          No          No          No          No          No          No          No          No          No          No          Yes    
 20190407  GDJW0407      No          No          No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          Yes         No     
 20190408  OUSP0408      No          Yes         Yes         No          No          No          No          No          No          No          Yes         No          No          No          No          No          No          Yes         Yes         No     
 20190409  VVZG0409      No          No          No          No          Yes         Yes         No          No          No          Yes         No          No          Yes         No          No          Yes         No          Yes         No          Yes    
 20190410  SMGD0410      No          No          Yes         No          Yes         No          No          Yes         No          Yes         Yes         No          No          No          No          No          Yes         No          No          Yes    
 20190411  CCTZ0411      No          No          No          No          No          Yes         No          No          Yes         Yes         Yes         No          Yes         No          No          No          Yes         No          No          No     
 20190412  DJYC0412      Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          No          Yes         No          No          No          No          No          No     
 20190413  BDKQ0413      No          No          Yes         Yes         Yes         No          No          Yes         No          Yes         No          No          No          No          Yes         Yes         No          No          No          No     
 20190414  QNSF0414      Yes         No          No          Yes         No          No          Yes         No          No          No          No          No          No          No          No          No          No          No          Yes         Yes    
 20190415  UWRF0415      Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         No          Yes         No          No          Yes         No          Yes         No     
 20190416  DQSI0416      No          No          No          No          No          Yes         Yes         Yes         No          No          No          No          No          Yes         Yes         No          No          No          No          No     
 20190417  FNRY0417      Yes         No          No          No          No          No          Yes         No          No          No          No          No          No          No          Yes         Yes         Yes         No          Yes         No     
 20190418  BJDX0418      No          No          No          No          Yes         Yes         No          Yes         No          No          No          No          No          Yes         Yes         No          No          No          Yes         Yes    
 20190419  PDVY0419      No          Yes         No          Yes         No          No          No          No          No          No          No          No          No          Yes         No          Yes         Yes         No          No          No     
 20190420  EZOF0420      No          No          Yes         Yes         Yes         Yes         No          No          No          No          No          No          No          No          No          Yes         Yes         No          No          No     
 20190421  GZST0421      No          No          No          Yes         Yes         No          No          No          No          Yes         No          No          No          Yes         No          No          No          No          No          Yes    
 20190422  UXEV0422      No          No          No          No          Yes         No          No          No          No          Yes         No          No          Yes         No          Yes         Yes         Yes         No          No          No     
